# Timestamp, Latitude, Longitude, Accuracy, Speed
#Journey Start
1436404356493,-36.90459311,174.85509546,9.0,15.781714
1436404357488,-36.90448342,174.85501023,10.0,15.532225
1436404358486,-36.90434447,174.85493404,10.0,15.532225
1436404359961,-36.90420718,174.85487871,10.0,15.532225
1436404360497,-36.9040941,174.85481121,11.0,15.033297
1436404361487,-36.90395183,174.85477032,10.0,15.781714
1436404362490,-36.90382752,174.85473255,11.0,15.282752
1436404363496,-36.90367603,174.85469386,11.0,15.282752
1436404364488,-36.90355674,174.85463746,11.0,14.783859
1436404365494,-36.90344266,174.85463075,12.0,14.285045
1436404366491,-36.90332521,174.854599,12.0,13.786316
1436404367494,-36.90322527,174.85465535,12.0,13.038404
1436404368490,-36.90310412,174.85462033,12.0,13.536986
1436404369495,-36.90297853,174.8545944,11.0,14.035668
1436404370492,-36.90285209,174.85454517,11.0,14.035668
1436404371494,-36.90270937,174.85451185,11.0,14.285045
1436404372494,-36.90257213,174.85448745,11.0,14.534442
1436404373493,-36.90244289,174.85445696,11.0,15.033297
1436404374495,-36.9022902,174.8544087,10.0,15.033297
1436404375584,-36.90215758,174.85438086,10.0,14.783859
1436404376485,-36.90204841,174.85436669,10.0,14.534442
1436404377488,-36.90193854,174.85434161,10.0,14.035668
1436404378496,-36.90182577,174.8543362,10.0,13.786316
1436404379491,-36.90169932,174.85431,11.0,13.536986
1436404380488,-36.90158548,174.85424876,11.0,12.789156
1436404381487,-36.90148111,174.85420555,11.0,12.539936
1436404382494,-36.90138551,174.85417635,11.0,11.543396
1436404383491,-36.90128486,174.85413531,11.0,11.543396
1436404384493,-36.90120797,174.85407966,11.0,10.547511
1436404385491,-36.90112658,174.85402444,10.0,10.7964115
1436404386495,-36.90103502,174.85395416,10.0,11.045361
1436404387490,-36.90095366,174.85388954,10.0,11.294357
1436404388494,-36.9008723,174.85382049,10.0,11.543396
1436404389493,-36.90078012,174.85374,10.0,11.792477
1436404390490,-36.90069369,174.8536365,10.0,12.290749
1436404391494,-36.90060788,174.85353733,10.0,12.539936
1436404392491,-36.9005297,174.85343329,11.0,12.789156
1436404393500,-36.9004602,174.8533282,11.0,12.789156
1436404394488,-36.90038132,174.8532173,11.0,13.038404
1436404395494,-36.90031282,174.85310822,11.0,13.038404
1436404396489,-36.90021932,174.85299917,11.0,13.287683
1436404397494,-36.90015463,174.85289071,11.0,13.536986
1436404398489,-36.9000681,174.85276833,11.0,13.786316
1436404399494,-36.89999348,174.85264774,11.0,14.035668
1436404400490,-36.89989611,174.85253214,11.0,14.285045
1436404401523,-36.8998018,174.85243157,11.0,13.536986
1436404402494,-36.89974133,174.85231655,11.0,12.789156
1436404403493,-36.89966899,174.85222567,11.0,11.792477
1436404404490,-36.89963699,174.85214022,11.0,10.049875
1436404405496,-36.89957454,174.85208123,11.0,8.558621
